ID,NAME,FOLLOWER_COUNT,ANSWER_COUNT
20840874,哪些东西买了之后，会让人因生活质量和幸福感提升而感觉相见恨晚？,421573,3942
20894671,日常生活中有哪些十分钟就能学会并可以终生受用的技能？,343832,1554
36546814,有哪些堪称「神器」，却鲜为人知的软件/网站/互联网服务？,451891,2026
22238159,你有什么相见恨晚的知识想推荐给年轻人？,330564,3887
27391031,怎么花最少的钱提升出租屋的格调？,409004,3606
20958648,淘宝上有哪些网购美食？,267112,1604
35216653,有哪些物美价廉的淘宝店值得推荐？,189404,1152
38485891,有哪些好看到让人浑身颤抖、无法自拔、久久不忘的电影？,234052,10957
21758700,Excel 有哪些可能需要熟练掌握而很多人不会的技能？,216430,359
28358499,如何长时间高效学习？,295481,1219
27325912,哪些纪录片让你开阔眼界、增长见识？,222553,2956
22467582,有哪些很重要又被忽视的炒菜技巧？,210305,1423
35112627,有哪些必备的知识技能？,186107,877
28626263,有哪些读书学不来，却很重要的素质？,217942,2683
38501171,有哪些你看过一眼就难以忘怀的句子？,254877,29125
35781319,喜欢宅的人，如何把家里装修成全世界最舒服的地方？,269503,1522
35005800,想要充实自己，有哪 10 本书或者 10 部电影值得推荐？,227909,2133
22292474,哪些实用的小方法、小技巧、好习惯能让人每天进步？,196568,1013
28070036,有哪些可以提升情商、判断力和谈话技巧的书籍？,210008,1156
23933357,淘宝上有哪些很显格调和品味的东西？,146195,419
23136740,有点贵但很值得买的商品有哪些？,211000,1760
24399575,有哪些价格不贵格调又高的家装家居？,180262,483
23271389,有哪些出租屋实用神器？,192980,655
20535575,有哪些书适合每天睡前读，有趣又能学到知识的？,167103,1722
20381470,体质极差的人该如何从头开始恢复身体素质？,190673,1109
23054572,有哪些 100 元以下，很少见但高大上的物件？,205267,679
24269892,现实可以有多美好？,137987,9269
22390958,有哪些让你相见恨晚的化妆品和护肤品？,213485,2116
20250029,男生如何找准自己的穿衣风格，提升衣着品味？,149202,528
27712663,如何让自己变得更加优秀？,162228,1321
35667984,减肥对外貌的改变有多大？,156690,5214
38632401,有什么知识，你知道后你的世界马上就不一样了？,152097,1893
20846401,哪些技能，经较短时间的学习，就可以给人的生活带来巨大帮助？,130127,1111
19855515,国内有哪些冷门但有特色的旅游地点？,201582,1477
21274267,怎样做出优秀的扁平化设计风格 PPT 或 Keynote 幻灯片演示文稿？,124843,185
19761485,如何改掉晚睡强迫症？,159051,4288
22618603,有哪些「百元货」可以有效提高生活质量？,157623,768
21423568,如何布置独居小房间能惬意地生活？,134666,528
35886615,有哪些「知名度不高，质量却很好」的品牌？,145257,1116
21509929,日本哪些化妆品护肤品特别好？,145554,658
27702564,每天坚持英语学习为什么还是学不好？,136389,1224
26457306,有哪些有用的人际交往小常识？,254417,1965
36243693,你听过最酷的一句话是哪句？说这句话的人也一样酷么？,110654,12068
35414364,有哪些令人清醒的句子？,143582,4637
30018273,有哪些让你相见恨晚的 PPT 制作技术或知识？,146797,330
19553905,如何增加一个人的自信？,157913,3732
35931336,你写论文时发现了哪些神网站？,164105,470
29064753,长大以后，你悟出过哪些不一样的道理？,171250,9022
19647535,旅行时如何拍出不那么「到此一游」的照片？,142001,1880
38244425,有哪些让你「心上开出一朵花」的瞬间？,135905,17819
23819007,你有什么道理后悔没有早点知道？,464564,18532
22867272,如何变得会聊天？,215520,1659
41365485,有哪些典型的「学生思维」？,242743,3801
37167038,你的每日私人成长暗器是什么？,147389,1657
23802668,有哪些让你感叹「写出这种句子的人，我十辈子都追不上了」的句子？,292929,21983
20502275,如何系统地练字？,132235,427
31476726,你的手机上有哪些有意思的 APP ？,184244,2227
28094932,人到底可以有多坏？,140322,7222
37374497,人类都有什么细思极恐的细节？,180607,13097
31637529,有什么道理是开始注重外表几年后才能悟出来的？,239839,3227
24326030,你是通过什么渠道获取一般人不知道的知识和信息的？,161800,672
29265697,有哪些有趣的小家具？,118383,340
24708380,有什么地方让你觉得「哪怕只为了吃都值得特地跑一趟」？,138559,3068
28594126,长时间坚持健身能在一定程度上改变容貌吗？,119817,2603
